Year,State,StateName,County,FIPS,Diabetes,HighBP,Obesity,NeedScore
2023,AK,Alaska,Aleutians East,02013,12.8,33.2,30.7,25.566666666666666
2023,AK,Alaska,Aleutians West,02016,10.8,30.7,31.9,24.46666666666667
2023,AK,Alaska,Anchorage,02020,8.9,31.5,35.0,25.133333333333336
2023,AK,Alaska,Bethel,02050,13.8,37.5,39.1,30.133333333333336
2023,AK,Alaska,Bristol Bay,02060,11.3,36.3,34.9,27.5
2023,AK,Alaska,Chugach,02063,9.6,33.4,31.1,24.7
2023,AK,Alaska,Copper River,02066,11.4,38.3,33.6,27.766666666666666
2023,AK,Alaska,Denali,02068,8.6,32.0,31.3,23.96666666666667
2023,AK,Alaska,Dillingham,02070,13.0,34.4,38.5,28.633333333333336
2023,AK,Alaska,Fairbanks North Star,02090,7.9,30.3,35.3,24.5
2023,AK,Alaska,Haines,02100,10.8,38.5,34.0,27.766666666666666
2023,AK,Alaska,Hoonah-Angoon,02105,14.8,42.8,37.1,31.566666666666666
2023,AK,Alaska,Juneau,02110,8.9,32.4,35.0,25.433333333333334
2023,AK,Alaska,Kenai Peninsula,02122,9.8,35.4,32.3,25.833333333333332
2023,AK,Alaska,Ketchikan Gateway,02130,10.1,34.8,37.7,27.53333333333333
2023,AK,Alaska,Kodiak Island,02150,9.8,31.0,31.5,24.099999999999998
2023,AK,Alaska,Kusilvak,02158,16.5,38.5,46.5,33.833333333333336
2023,AK,Alaska,Lake and Peninsula,02164,14.6,38.2,39.4,30.733333333333334
2023,AK,Alaska,Matanuska-Susitna,02170,9.0,32.0,37.5,26.166666666666668
2023,AK,Alaska,Nome,02180,13.0,33.6,38.6,28.400000000000002
2023,AK,Alaska,North Slope,02185,10.8,34.9,42.3,29.333333333333332
2023,AK,Alaska,Northwest Arctic,02188,14.1,36.8,40.6,30.5
2023,AK,Alaska,Petersburg,02195,10.5,35.6,30.8,25.633333333333336
2023,AK,Alaska,Prince of Wales-Hyder,02198,14.0,39.4,38.4,30.599999999999998
2023,AK,Alaska,Sitka,02220,9.9,33.7,29.8,24.46666666666667
2023,AK,Alaska,Skagway,02230,9.1,33.6,36.2,26.3
2023,AK,Alaska,Southeast Fairbanks,02240,10.2,35.5,35.7,27.133333333333336
2023,AK,Alaska,Wrangell,02275,12.9,40.8,34.8,29.5
2023,AK,Alaska,Yakutat,02282,13.7,40.5,35.4,29.866666666666664
2023,AK,Alaska,Yukon-Koyukuk,02290,16.5,41.4,36.9,31.599999999999998
2023,AL,Alabama,Autauga,01001,13.3,42.0,39.8,31.7
2023,AL,Alabama,Baldwin,01003,13.4,43.8,35.2,30.8
2023,AL,Alabama,Barbour,01005,19.6,50.2,46.8,38.86666666666667
2023,AL,Alabama,Bibb,01007,16.2,46.3,43.9,35.46666666666666
2023,AL,Alabama,Blount,01009,13.8,41.2,36.1,30.36666666666667
2023,AL,Alabama,Bullock,01011,24.6,56.6,51.3,44.166666666666664
2023,AL,Alabama,Butler,01013,18.9,51.0,40.4,36.766666666666666
2023,AL,Alabama,Calhoun,01015,14.8,44.8,38.6,32.733333333333334
2023,AL,Alabama,Chambers,01017,17.9,48.7,41.5,36.03333333333333
2023,AL,Alabama,Cherokee,01019,16.0,45.9,39.5,33.800000000000004
2023,AL,Alabama,Chilton,01021,14.1,43.1,40.0,32.4
2023,AL,Alabama,Choctaw,01023,20.1,52.7,44.4,39.06666666666667
2023,AL,Alabama,Clarke,01025,18.4,49.5,43.9,37.266666666666666
2023,AL,Alabama,Clay,01027,16.5,47.6,42.5,35.53333333333333
2023,AL,Alabama,Cleburne,01029,14.6,42.9,37.4,31.633333333333336
2023,AL,Alabama,Coffee,01031,14.8,43.5,41.0,33.1
2023,AL,Alabama,Colbert,01033,15.0,44.3,37.5,32.266666666666666
2023,AL,Alabama,Conecuh,01035,22.1,54.7,46.4,41.06666666666667
2023,AL,Alabama,Coosa,01037,18.6,50.2,41.9,36.9
2023,AL,Alabama,Covington,01039,16.3,46.4,37.9,33.53333333333333
2023,AL,Alabama,Crenshaw,01041,16.6,46.6,40.5,34.56666666666667
2023,AL,Alabama,Cullman,01043,13.4,42.3,36.4,30.7
2023,AL,Alabama,Dale,01045,15.8,44.3,41.3,33.8
2023,AL,Alabama,Dallas,01047,22.4,55.2,46.3,41.3
2023,AL,Alabama,DeKalb,01049,15.7,44.5,38.6,32.93333333333333
2023,AL,Alabama,Elmore,01051,13.0,41.6,38.9,31.166666666666668
2023,AL,Alabama,Escambia,01053,18.5,48.6,43.9,37.0
2023,AL,Alabama,Etowah,01055,16.3,46.3,43.8,35.46666666666666
2023,AL,Alabama,Fayette,01057,16.6,47.6,40.6,34.93333333333334
2023,AL,Alabama,Franklin,01059,16.4,44.4,42.2,34.333333333333336
2023,AL,Alabama,Geneva,01061,16.4,45.5,42.3,34.73333333333333
2023,AL,Alabama,Greene,01063,27.1,59.8,52.7,46.53333333333334
2023,AL,Alabama,Hale,01065,19.7,51.1,47.6,39.46666666666667
2023,AL,Alabama,Henry,01067,16.7,48.1,41.3,35.36666666666667
2023,AL,Alabama,Houston,01069,15.7,44.5,40.5,33.56666666666667
2023,AL,Alabama,Jackson,01071,16.0,45.9,39.3,33.73333333333333
2023,AL,Alabama,Jefferson,01073,15.1,42.7,37.4,31.733333333333334
2023,AL,Alabama,Lamar,01075,16.7,47.7,40.8,35.06666666666667
2023,AL,Alabama,Lauderdale,01077,12.9,39.6,35.6,29.366666666666664
2023,AL,Alabama,Lawrence,01079,15.5,44.3,39.5,33.1
2023,AL,Alabama,Lee,01081,12.5,37.5,38.4,29.46666666666667
2023,AL,Alabama,Limestone,01083,12.5,40.7,39.6,30.933333333333337
2023,AL,Alabama,Lowndes,01085,24.1,56.5,51.2,43.93333333333334
2023,AL,Alabama,Macon,01087,20.0,50.6,46.7,39.1
2023,AL,Alabama,Madison,01089,12.1,38.6,39.9,30.2
