RATCAT_A,glp1_rate,income_label,weighted_n,unweighted_n
1,0.1997375111565716,0.00–0.49,1530630.387,220
2,0.1911897670953154,0.50–0.74,1672297.879,269
3,0.15490430592829987,0.75–0.99,3254881.044,531
4,0.1773147507921037,1.00–1.24,2238456.238,351
5,0.1620673440022873,1.25–1.49,2967914.19,444
6,0.14827553636328855,1.50–1.74,2824678.408,413
7,0.1466045160983815,1.75–1.99,2567907.654,344
8,0.18056041512425725,2.00–2.49,4861525.398,701
9,0.1329751143214117,2.50–2.99,4825832.64,662
10,0.15494937083613514,3.00–3.49,3638675.833,494
11,0.1487876896212562,3.50–3.99,2909618.619,394
12,0.16078497947267203,4.00–4.49,3012172.117,425
13,0.17934034701886406,4.50–4.99,2334398.455,299
14,0.16683039931615135,5.00+,13571951.025,1775
